original_name,rxcui
Abacavir,190521
Abacavir,190521
Acarbose,16681
Acenocoumarol,154
Acetazolamide,167
Acetic acid,168
Acetylcysteine,197
Acetylcysteine,197
Acetylcysteine,197
Acetylcysteine,197
Acyclovir,281
Acyclovir,281
Acyclovir,281
Acyclovir,281
Acyclovir,281
Aspirin,1191
Aspirin,1191
Amino acids,1873122
Aminocaproic acid,99
Benzoic acid / Salicylic acid,91292
Folic acid,4511
Salicylic acid,9525
Tranexamic acid,10691
Tranexamic acid,10691
Valproic acid,11118
Valproic acid,11118
Epinephrine,3992
Albendazole,430
Alimemazine,10825
Alimemazine,10825
Allopurinol,519
Alverine,17627
Alverine,17627
Diatrizoate,3319
Amikacin,641
Amikacin,641
Amiodarone,703
Amiodarone,703
Amitriptyline,704
Amlodipine,17767
Amodiaquine,720
Amoxicillin,723
Amoxicillin,723
Amoxicillin,723
Amoxicillin / Clavulanic acid,19711
Amoxicillin / Clavulanic acid,19711
Amoxicillin / Clavulanic acid,19711
Amphotericin B,732
Ampicillin,733
Argyrol,2711625
Artesunate,18346
Artesunate / Amodiaquine,711398
Artesunate / Mefloquine,1429947
Artemether,18343
Artemether / Lumefantrine,282448
Atazanavir,343047
Atenolol,1202
Atorvastatin,83367
Atropine,1223
Atropine,1223
Atropine,1223
Attapulgite,18516
Azathioprine,1256
Azathioprine,1256
Azithromycin,18631
Azithromycin,18631
Silver sulfadiazine,9793
Barium sulfate,1331
Beclomethasone,1347
Benzoyl peroxide,1418
Penicillin G benzathine,7982
Penicillin G,7980
Penicillin G procaine,7983
Berberine,1437
Betamethasone,1514
Bisacodyl,1596
Bleomycin,1622
Bromhexine,1753
Budesonide,19831
Budesonide,19831
Bupivacaine,1815
Caffeine citrate,20033
Caffeine citrate,20033
Calcium chloride,1901
Calcium folinate,225852
Calcium folinate,225852
Calcium gluconate,1908
Calcium gluconate,1908
Capreomycin,78903
Captopril,1998
Carbamazepine,2002
Carbamazepine,2002
Carbazochrome,2011
Carbazochrome,2011
Carbimazole,2020
Carboplatin,40048
Cefazolin,2180
Cefixime,25033
Cefotaxime,2186
Ceftriaxone,2193
Cefuroxime,2194
Cefuroxime,2194
Cephalexin,2231
Cephalexin,2231
Chlorambucil,2346
Cyclosporine,3008
Cyclosporine,3008
Cimetidine,2541
Cimetidine,2541
Ciprofloxacin,2551
Ciprofloxacin,2551
Ciprofloxacin,2551
Ciprofloxacin,2551
Cisplatin,2555
Clarithromycin,21212
Clindamycin,2582
Clindamycin,2582
Clindamycin,2582
Clofazimine,2592
Clomiphene,2596
Clomipramine,2597
Chloramphenicol,2348
Chloramphenicol,2348
Chloramphenicol,2348
Chloramphenicol,2348
Chlorhexidine,2358
Chloroquine,2393
Chloroquine,2393
Chloroquine,2393
Chloroquine,2393
Chlorpheniramine,2400
Chlorpheniramine,2400
Chlorpromazine,2403
Chlorpromazine,2403
Chlorpromazine,2403
Clotrimazole,2623
Clotrimazole,2623
Cloxacillin,2625
Cloxacillin,2625
Colchicine,2683
Ethanol,448
Salicylic acid / Benzoic acid,91292
Salicylic acid / Iodine,466470
Iodine,5933
Cyclophosphamide,3002
Cyclophosphamide,3002
Cycloserine,3007
Cytarabine,3041
Dacarbazine,3098
Dactinomycin,3100
Dapsone,3108
Daunorubicin,3109
Deferoxamine,3131
Desmopressin,3251
Desmopressin,3251
Dexamethasone,3264
Dexamethasone,3264
Dexamethasone,3264
Dextran 40,3272
Dextran 60,236263
Dextran 70,3274
Dextromethorphan,3289
Diazepam,3322
Diazepam,3322
Diazepam,3322
Diclofenac,3355
Diethylcarbamazine,3384
Diethyl phthalate,1362921
Diethyl phthalate,1362921
Digoxin,3407
Digoxin,3407
Digoxin,3407
Diltiazem,3443
Dimercaprol,3445
Diosmin,3489
Dobutamine,3616
Docusate sodium,71722
Docusate sodium,71722
Dopamine,3628
Doxorubicin,3639
Doxycycline,3640
Doxycycline,3640
Acetate hemodialysis solution,226504
Peritoneal dialysis solution,239372
Efavirenz,195085
Efavirenz,195085
Enalapril,3827
Ephedrine,3966
Ergonovine,4021
Erythromycin,4053
Erythromycin,4053
Erythromycin,4053
Estradiol cypionate / Medroxyprogesterone acetate,2647996
Ethambutol / Isoniazid,821005
Ethambutol / Isoniazid / Pyrazinamide / Rifampin,214662
Ethambutol / Isoniazid / Rifampin,814321
Ethambutol,4110
Ethambutol,4110
Ethinylestradiol,4124
Ethinylestradiol / Levonorgestrel,214558
Ethinylestradiol / Norethindrone,7514
Ethionamide,4127
Etoposide,4179
Etoposide,4179
Etoposide,4179
Famotidine,4278
Famotidine,4278
Fenofibrate,8703
Fentanyl,4337
Filgrastim,68442
Fluconazole,4450
Fluconazole,4450
Fluconazole,4450
Flucytosine,4451
Flucytosine,4451
Fludrocortisone,4452
Fluocinolone acetonide,4461
Fluorescein,25138
Fluorescein,25138
Fluorouracil,4492
Fluorouracil,4492
Fluoxetine,4493
Fluphenazine,4496
Furosemide,4603
Furosemide,4603
Furosemide,4603
Gelatin,4716
Gentamicin,1596450
Gentamicin,1596450
Glyburide,4815
Gliclazide,4816
Glucose,4850
Glucose,4850
Nitroglycerin,4917
